Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Daily Observation Table for January 1 2018 to December 31 2018
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Avg Temp,Avg Temp Flag,Avg Bare Soil Temp,Avg Bare Soil Temp Flag,Avg Wind Speed,Avg Wind Speed Flag,Total Solar Rad,Total Solar Rad Flag,Wind Chill,Wind Chill Flag
,deg,deg,ft,,,,Degrees F,,Degrees F,,mph,,Lys,,Degrees F,
Ada,47.32119,-96.51406,910,2018,01,01,-16.915,,29.966,,5.037,,159.190,,-26.646,
Ada,47.32119,-96.51406,910,2018,01,02,-0.247,,29.766,,14.939,,102.700,,-22.431,
Ada,47.32119,-96.51406,910,2018,01,03,-6.889,,29.871,,8.703,,146.853,,-22.933,
Ada,47.32119,-96.51406,910,2018,01,04,-5.674,,29.788,,3.438,,118.273,,-9.426,
Ada,47.32119,-96.51406,910,2018,01,05,-11.173,,29.598,,2.463,,155.065,,-16.053,
Ada,47.32119,-96.51406,910,2018,01,06,2.057,,29.254,,17.070,,87.760,,-13.992,
Ada,47.32119,-96.51406,910,2018,01,07,23.852,,29.458,,9.972,,96.285,,11.726,
Ada,47.32119,-96.51406,910,2018,01,08,21.450,,30.075,,4.917,,146.219,,17.461,
Ada,47.32119,-96.51406,910,2018,01,09,29.429,,30.433,,10.290,,138.254,,21.239,
Ada,47.32119,-96.51406,910,2018,01,10,17.520,,30.841,,16.761,,71.035,,6.746,
Ada,47.32119,-96.51406,910,2018,01,11,-7.996,,29.570,,22.636,,121.576,,-31.756,
Ada,47.32119,-96.51406,910,2018,01,12,-14.701,,28.583,,3.033,,183.003,,-22.280,
Ada,47.32119,-96.51406,910,2018,01,13,-13.828,,28.111,,4.282,,178.122,,-21.812,
Ada,47.32119,-96.51406,910,2018,01,14,4.613,,27.995,,19.107,,103.124,,-19.218,
Ada,47.32119,-96.51406,910,2018,01,15,-8.860,,28.452,,21.928,,126.904,,-38.516,
Ada,47.32119,-96.51406,910,2018,01,16,-6.601,,28.120,,8.492,,159.107,,-20.482,
Ada,47.32119,-96.51406,910,2018,01,17,17.043,,28.080,,12.718,,187.359,,0.871,
Ada,47.32119,-96.51406,910,2018,01,18,23.520,,28.849,,7.690,,153.031,,17.379,
Ada,47.32119,-96.51406,910,2018,01,19,31.741,,29.537,,8.213,,106.567,,24.518,
Ada,47.32119,-96.51406,910,2018,01,20,27.822,,30.144,,4.925,,154.641,,22.982,
Ada,47.32119,-96.51406,910,2018,01,21,18.286,,30.526,,5.401,,98.123,,13.368,
Ada,47.32119,-96.51406,910,2018,01,22,23.551,,30.543,,11.459,,49.711,,13.155,
Ada,47.32119,-96.51406,910,2018,01,23,20.494,,30.529,,4.741,,66.565,,13.516,
Ada,47.32119,-96.51406,910,2018,01,24,23.643,,30.449,,5.821,,64.149,,16.524,
Ada,47.32119,-96.51406,910,2018,01,25,24.818,,30.513,,13.031,,136.581,,12.236,
Ada,47.32119,-96.51406,910,2018,01,26,27.623,,30.649,,13.352,,56.896,,16.845,
Ada,47.32119,-96.51406,910,2018,01,27,12.015,,30.637,,12.762,,142.486,,-3.519,
Ada,47.32119,-96.51406,910,2018,01,28,-1.588,,30.094,,10.520,,180.215,,-18.533,
Ada,47.32119,-96.51406,910,2018,01,29,-2.776,,29.148,,1.970,,222.196,,-5.442,
Ada,47.32119,-96.51406,910,2018,01,30,13.945,,28.561,,17.767,,82.676,,0.647,
Ada,47.32119,-96.51406,910,2018,01,31,9.794,,29.115,,13.308,,98.365,,-8.016,
Ada,47.32119,-96.51406,910,2018,02,01,-4.423,,28.644,,8.957,,205.629,,-21.453,
Ada,47.32119,-96.51406,910,2018,02,02,0.824,,27.752,,7.043,,168.357,,-10.950,
Ada,47.32119,-96.51406,910,2018,02,03,-1.525,,28.003,,14.262,,151.263,,-17.434,
Ada,47.32119,-96.51406,910,2018,02,04,-8.428,,27.447,,8.767,,250.104,,-25.240,
Ada,47.32119,-96.51406,910,2018,02,05,-1.786,,26.772,,7.877,,244.498,,-17.635,
Ada,47.32119,-96.51406,910,2018,02,06,-4.648,,26.495,,5.918,,220.909,,-15.833,
Ada,47.32119,-96.51406,910,2018,02,07,-4.324,,26.643,,5.728,,267.614,,-17.495,
Ada,47.32119,-96.51406,910,2018,02,08,-11.524,,26.130,,1.824,,238.828,,-10.000,
Ada,47.32119,-96.51406,910,2018,02,09,-8.302,,25.764,,5.246,,273.682,,-17.443,
Ada,47.32119,-96.51406,910,2018,02,10,-2.767,,25.549,,8.228,,272.235,,-18.348,
Ada,47.32119,-96.51406,910,2018,02,11,0.941,,25.787,,9.425,,236.118,,-14.648,
Ada,47.32119,-96.51406,910,2018,02,12,-10.543,,25.635,,4.223,,253.598,,-17.424,
Ada,47.32119,-96.51406,910,2018,02,13,15.519,,25.723,,14.854,,269.514,,0.202,
Ada,47.32119,-96.51406,910,2018,02,14,25.839,,27.040,,9.686,,284.842,,16.374,
Ada,47.32119,-96.51406,910,2018,02,15,12.653,,28.386,,18.577,,187.253,,-11.959,
Ada,47.32119,-96.51406,910,2018,02,16,9.845,,27.279,,11.076,,248.057,,-3.834,
Ada,47.32119,-96.51406,910,2018,02,17,15.393,,27.464,,8.852,,305.107,,6.457,
Ada,47.32119,-96.51406,910,2018,02,18,12.020,,27.593,,12.488,,187.789,,-2.068,
Ada,47.32119,-96.51406,910,2018,02,19,5.189,,27.332,,14.707,,203.587,,-13.607,
Ada,47.32119,-96.51406,910,2018,02,20,3.965,,26.936,,12.152,,275.114,,-12.166,
Ada,47.32119,-96.51406,910,2018,02,21,-0.544,,26.784,,7.616,,330.743,,-15.224,
Ada,47.32119,-96.51406,910,2018,02,22,6.030,,26.500,,7.272,,312.341,,-1.459,
Ada,47.32119,-96.51406,910,2018,02,23,9.255,,27.045,,6.842,,323.887,,1.539,
Ada,47.32119,-96.51406,910,2018,02,24,5.194,,27.691,,5.484,,204.712,,-2.700,
Ada,47.32119,-96.51406,910,2018,02,25,16.729,,27.986,,7.834,,324.175,,6.037,
Ada,47.32119,-96.51406,910,2018,02,26,21.333,,28.475,,10.596,,323.175,,9.799,
Ada,47.32119,-96.51406,910,2018,02,27,10.236,,28.858,,2.766,,333.580,,10.058,
Ada,47.32119,-96.51406,910,2018,02,28,11.605,,29.056,,4.028,,345.282,,8.238,
Ada,47.32119,-96.51406,910,2018,03,01,7.181,,29.081,,3.090,,370.238,,3.303,
Ada,47.32119,-96.51406,910,2018,03,02,16.787,,28.999,,5.317,,251.030,,13.455,
Ada,47.32119,-96.51406,910,2018,03,03,30.633,,29.468,,11.836,,343.547,,24.223,
Ada,47.32119,-96.51406,910,2018,03,04,36.656,,30.895,,16.888,,137.829,,26.040,
Ada,47.32119,-96.51406,910,2018,03,05,30.861,,31.781,,19.943,,122.628,,17.936,
Ada,47.32119,-96.51406,910,2018,03,06,17.092,,31.684,,12.864,,411.633,,6.313,
Ada,47.32119,-96.51406,910,2018,03,07,11.597,,31.636,,7.079,,411.138,,-0.871,
Ada,47.32119,-96.51406,910,2018,03,08,13.741,,31.608,,2.675,,357.782,,12.406,
Ada,47.32119,-96.51406,910,2018,03,09,16.269,,31.600,,5.490,,421.214,,9.826,
Ada,47.32119,-96.51406,910,2018,03,10,29.784,,31.526,,7.588,,278.578,,21.908,
Ada,47.32119,-96.51406,910,2018,03,11,23.552,,31.399,,7.990,,334.360,,17.586,
Ada,47.32119,-96.51406,910,2018,03,12,18.098,,31.294,,9.001,,438.000,,8.884,
Ada,47.32119,-96.51406,910,2018,03,13,18.103,,30.934,,5.324,,435.426,,14.410,
Ada,47.32119,-96.51406,910,2018,03,14,23.725,,30.657,,9.231,,449.466,,13.940,
Ada,47.32119,-96.51406,910,2018,03,15,21.653,,30.660,,7.359,,454.893,,12.491,
Ada,47.32119,-96.51406,910,2018,03,16,24.692,,31.183,,4.878,,456.662,,18.594,
Ada,47.32119,-96.51406,910,2018,03,17,26.105,,31.362,,2.507,,466.114,,25.079,
Ada,47.32119,-96.51406,910,2018,03,18,34.017,,31.456,,3.015,,189.140,,31.146,
Ada,47.32119,-96.51406,910,2018,03,19,34.172,,31.511,,5.200,,126.618,,27.997,
Ada,47.32119,-96.51406,910,2018,03,20,29.341,,31.542,,4.799,,306.558,,24.399,
Ada,47.32119,-96.51406,910,2018,03,21,32.169,,31.572,,5.628,,137.492,,26.464,
Ada,47.32119,-96.51406,910,2018,03,22,35.455,,31.592,,3.375,,252.701,,31.630,
Ada,47.32119,-96.51406,910,2018,03,23,33.228,,31.611,,10.540,,172.907,,24.509,
Ada,47.32119,-96.51406,910,2018,03,24,30.934,,31.618,,12.264,,368.349,,20.196,
Ada,47.32119,-96.51406,910,2018,03,25,33.315,,31.630,,14.229,,193.796,,22.630,
Ada,47.32119,-96.51406,910,2018,03,26,32.072,,31.638,,3.529,,244.681,,28.538,
Ada,47.32119,-96.51406,910,2018,03,27,34.297,,31.647,,8.492,,497.576,,27.174,
Ada,47.32119,-96.51406,910,2018,03,28,31.624,,31.654,,12.858,,179.920,,21.401,
Ada,47.32119,-96.51406,910,2018,03,29,25.404,,31.662,,7.700,,464.573,,16.834,
Ada,47.32119,-96.51406,910,2018,03,30,17.464,,31.665,,8.916,,498.438,,6.573,
Ada,47.32119,-96.51406,910,2018,03,31,13.722,,31.513,,15.466,,541.931,,-3.310,
Ada,47.32119,-96.51406,910,2018,04,01,16.525,,30.431,,12.005,,543.390,,1.681,
Ada,47.32119,-96.51406,910,2018,04,02,20.004,,29.934,,11.076,,341.503,,9.932,
Ada,47.32119,-96.51406,910,2018,04,03,14.020,,28.332,,13.173,,318.827,,-1.271,
Ada,47.32119,-96.51406,910,2018,04,04,18.660,,27.386,,7.773,,554.981,,9.778,
Ada,47.32119,-96.51406,910,2018,04,05,19.227,,29.703,,6.825,,357.387,,13.147,
Ada,47.32119,-96.51406,910,2018,04,06,13.174,,29.433,,16.528,,557.402,,-5.178,
